,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,date,title,review,vote,rating,text_lower,text_wo_punct,review_stopwords,logistic_sentiment,random_forest_sentiment,support_vector_sentiment
0,0,0,0,Somesh Saraf,2019-10-30,Quite disappointed!!,"Writing a review after few days of usage.It's quite good looking watch with list of features like sleep, heartrate, step monitor and many other. But what is the use of a feature if it is not accurate in measurements. This I realized when I went on a long drive in my car and it measured 14k steps when I got down only for few minutes!!!. Quite disappointed as I feel my daily goal achievements till now are not accurate. Probably I might be taking only 5k steps in my reported steps of 10k.I doubt about heartrate and sleep monitor also now. Did not expect this kind of flaw in version 2. Smart watches have been around for quite some time now and cannot expect such basic flaws now.More disappointed when I found a 2.5k MI 4 band works awesomely accurate than a 21k extravagant watch!!!
",568,1,"writing a review after few days of usage.it's quite good looking watch with list of features like sleep, heartrate, step monitor and many other. but what is the use of a feature if it is not accurate in measurements. this i realized when i went on a long drive in my car and it measured 14k steps when i got down only for few minutes!!!. quite disappointed as i feel my daily goal achievements till now are not accurate. probably i might be taking only 5k steps in my reported steps of 10k.i doubt about heartrate and sleep monitor also now. did not expect this kind of flaw in version 2. smart watches have been around for quite some time now and cannot expect such basic flaws now.more disappointed when i found a 2.5k mi 4 band works awesomely accurate than a 21k extravagant watch!!!
","writing a review after few days of usageits quite good looking watch with list of features like sleep heartrate step monitor and many other but what is the use of a feature if it is not accurate in measurements this i realized when i went on a long drive in my car and it measured 14k steps when i got down only for few minutes quite disappointed as i feel my daily goal achievements till now are not accurate probably i might be taking only 5k steps in my reported steps of 10ki doubt about heartrate and sleep monitor also now did not expect this kind of flaw in version 2 smart watches have been around for quite some time now and cannot expect such basic flaws nowmore disappointed when i found a 25k mi 4 band works awesomely accurate than a 21k extravagant watch
",writing review days usageits quite good looking watch list features like sleep heartrate step monitor many use feature accurate measurements realized went long drive car measured 14k steps got minutes quite disappointed feel daily goal achievements till accurate probably might taking 5k steps reported steps 10ki doubt heartrate sleep monitor also expect kind flaw version 2 smart watches around quite time cannot expect basic flaws nowmore disappointed found 25k mi 4 band works awesomely accurate 21k extravagant watch,0,0,0
1,1,1,1,Hari Parkash ,2019-10-18,Premium! BUT Not for Middle class,"Very honest review, when I saw the price of this watch I can't understand what's there inside this watch that it cost you around 20k+If I person wants all that features which are available by some of the good brands that too with a lower price.About this watch I feels I a very premium looks & ofcourse premium features too but having all that I feel it's not for middle class person means a middle class can purchase a good smartphone or even Laptop in this price range.But yes if you are earning some extra bucks compared to middle class than of course go for it . It's a luxury item.🙂
",389,3,"very honest review, when i saw the price of this watch i can't understand what's there inside this watch that it cost you around 20k+if i person wants all that features which are available by some of the good brands that too with a lower price.about this watch i feels i a very premium looks & ofcourse premium features too but having all that i feel it's not for middle class person means a middle class can purchase a good smartphone or even laptop in this price range.but yes if you are earning some extra bucks compared to middle class than of course go for it . it's a luxury item.🙂
","very honest review when i saw the price of this watch i cant understand whats there inside this watch that it cost you around 20kif i person wants all that features which are available by some of the good brands that too with a lower priceabout this watch i feels i a very premium looks  ofcourse premium features too but having all that i feel its not for middle class person means a middle class can purchase a good smartphone or even laptop in this price rangebut yes if you are earning some extra bucks compared to middle class than of course go for it  its a luxury item🙂
",honest review saw price watch cant understand whats inside watch cost around 20kif person wants features available good brands lower priceabout watch feels premium looks ofcourse premium features feel middle class person means middle class purchase good smartphone even laptop price rangebut yes earning extra bucks compared middle class course go luxury item🙂,0,0,0
2,2,2,2,Pradip Kumar Paul,2019-10-20,Fantastic and all rounder band.,"Fantastic and all rounder band. It's all in one.
",121,5,"fantastic and all rounder band. it's all in one.
","fantastic and all rounder band its all in one
",fantastic rounder band one,1,1,1
3,3,3,3,Lokesh Pawar,2020-08-20,Un satisfied,"I am Mr Aniket PawarI had purchased the smart watch on 9th Aug 2020. I m facing following problems.1. Within few days of its use the belts coat has started to shred away slowly. The picture of the same been attached for your reference. I request to please replace it asap. As this belt coat wont last long.2. The inbuilt music control has malfunctioned. As i try to press next button or the previous button on screen it responds in changing the volume, where the volume control buttons are already there. I am not able to change the song through the watch. Please suggest solution.3. The voice message service doesn't work atall neither Alexa responds to my command.Do i need to ask for a replacement for the above issues. The experience of its usage has turned to be very bad and highly unsatisfactory. I am sure proper action would be taken for the same.For your PerusalRegards
",53,1,"i am mr aniket pawari had purchased the smart watch on 9th aug 2020. i m facing following problems.1. within few days of its use the belts coat has started to shred away slowly. the picture of the same been attached for your reference. i request to please replace it asap. as this belt coat wont last long.2. the inbuilt music control has malfunctioned. as i try to press next button or the previous button on screen it responds in changing the volume, where the volume control buttons are already there. i am not able to change the song through the watch. please suggest solution.3. the voice message service doesn't work atall neither alexa responds to my command.do i need to ask for a replacement for the above issues. the experience of its usage has turned to be very bad and highly unsatisfactory. i am sure proper action would be taken for the same.for your perusalregards
","i am mr aniket pawari had purchased the smart watch on 9th aug 2020 i m facing following problems1 within few days of its use the belts coat has started to shred away slowly the picture of the same been attached for your reference i request to please replace it asap as this belt coat wont last long2 the inbuilt music control has malfunctioned as i try to press next button or the previous button on screen it responds in changing the volume where the volume control buttons are already there i am not able to change the song through the watch please suggest solution3 the voice message service doesnt work atall neither alexa responds to my commanddo i need to ask for a replacement for the above issues the experience of its usage has turned to be very bad and highly unsatisfactory i am sure proper action would be taken for the samefor your perusalregards
",mr aniket pawari purchased smart watch 9th aug 2020 facing following problems1 within days use belts coat started shred away slowly picture attached reference request please replace asap belt coat wont last long2 inbuilt music control malfunctioned try press next button previous button screen responds changing volume volume control buttons already able change song watch please suggest solution3 voice message service doesnt work atall neither alexa responds commanddo need ask replacement issues experience usage turned bad highly unsatisfactory sure proper action would taken samefor perusalregards,0,0,0
4,4,4,4,Mat,2019-11-11,Worth or not worth based on individuals. I wouldn't say worth.,"I liked it before I saw the Samsung gear which has got more features. I preferred Fitbit due to outer design, however it has less features comparing to Gear.The price was 22k when bought, but within 1 month it dropped .Nothing great in Versa 2 Vs Versa , but charging 7-8 k extra only for Alexa feature.Not satisfied after buing. I am not sure about services in major cities.Either go for Apple watch if you are affordable or go for some cheap activity tracker. Near waste.
",60,2,"i liked it before i saw the samsung gear which has got more features. i preferred fitbit due to outer design, however it has less features comparing to gear.the price was 22k when bought, but within 1 month it dropped .nothing great in versa 2 vs versa , but charging 7-8 k extra only for alexa feature.not satisfied after buing. i am not sure about services in major cities.either go for apple watch if you are affordable or go for some cheap activity tracker. near waste.
","i liked it before i saw the samsung gear which has got more features i preferred fitbit due to outer design however it has less features comparing to gearthe price was 22k when bought but within 1 month it dropped nothing great in versa 2 vs versa  but charging 78 k extra only for alexa featurenot satisfied after buing i am not sure about services in major citieseither go for apple watch if you are affordable or go for some cheap activity tracker near waste
",liked saw samsung gear got features preferred fitbit due outer design however less features comparing gearthe price 22k bought within 1 month dropped nothing great versa 2 vs versa charging 78 k extra alexa featurenot satisfied buing sure services major citieseither go apple watch affordable go cheap activity tracker near waste,0,0,0
5,5,5,5,Abhishek Tiwari,2020-09-23,Not as expected 😞,"Looks good👍🏻I think I expected more from FitBit 😞Pros:1) Looks2) Sturdy3) Display4) BatteryCons:1) The watch keeps disconnecting from the mobile device every now and then.2) App could have been better3) I doubt the accuracy of the tracker as it sometimes show vague data4) Mobile connectivity is a big issue, you’ve to sync your Versa 2 every time it won’t sync on its own5) Message and WhatsApp notifications is not working properly. I’ve to remove and reinstall the app every time to get notifications and then again the same issue is there.. Very Disappointed ☹️Overall I would say if you are in for looks go for it, otherwise not worth the money you spend on it.And also no where comparable to Apple Watch..!
",22,3,"looks good👍🏻i think i expected more from fitbit 😞pros:1) looks2) sturdy3) display4) batterycons:1) the watch keeps disconnecting from the mobile device every now and then.2) app could have been better3) i doubt the accuracy of the tracker as it sometimes show vague data4) mobile connectivity is a big issue, you’ve to sync your versa 2 every time it won’t sync on its own5) message and whatsapp notifications is not working properly. i’ve to remove and reinstall the app every time to get notifications and then again the same issue is there.. very disappointed ☹️overall i would say if you are in for looks go for it, otherwise not worth the money you spend on it.and also no where comparable to apple watch..!
","looks good👍🏻i think i expected more from fitbit 😞pros1 looks2 sturdy3 display4 batterycons1 the watch keeps disconnecting from the mobile device every now and then2 app could have been better3 i doubt the accuracy of the tracker as it sometimes show vague data4 mobile connectivity is a big issue you’ve to sync your versa 2 every time it won’t sync on its own5 message and whatsapp notifications is not working properly i’ve to remove and reinstall the app every time to get notifications and then again the same issue is there very disappointed ☹️overall i would say if you are in for looks go for it otherwise not worth the money you spend on itand also no where comparable to apple watch
",looks good👍🏻i think expected fitbit 😞pros1 looks2 sturdy3 display4 batterycons1 watch keeps disconnecting mobile device every then2 app could better3 doubt accuracy tracker sometimes show vague data4 mobile connectivity big issue you’ve sync versa 2 every time won’t sync own5 message whatsapp notifications working properly i’ve remove reinstall app every time get notifications issue disappointed ☹️overall would say looks go otherwise worth money spend itand also comparable apple watch,0,0,0
6,6,6,6,ashish kumar,2020-02-18,Writing the review after 1 month of use. See full review in detail below,"Pros:1. The watch looks attractive with a good screen, attractive design and light-weighted.2. Accuracy of the exercise modes.3. Good battery life. Lasts over 3 days with full use of features and always-on display otherwise it could over 4-5days easily.Cons:1. Automatically increases step count while riding on the bike. It automatically adds around 5k to 6k steps while riding on my Royal Enfield for around 15kms daily.2. The detailed analysis comes at a cost. Advanced features are only present in Premium mode which comes around 800 to 900 rupees per month.3. Fitbit wallet is not available in India currently.
",23,4,"pros:1. the watch looks attractive with a good screen, attractive design and light-weighted.2. accuracy of the exercise modes.3. good battery life. lasts over 3 days with full use of features and always-on display otherwise it could over 4-5days easily.cons:1. automatically increases step count while riding on the bike. it automatically adds around 5k to 6k steps while riding on my royal enfield for around 15kms daily.2. the detailed analysis comes at a cost. advanced features are only present in premium mode which comes around 800 to 900 rupees per month.3. fitbit wallet is not available in india currently.
","pros1 the watch looks attractive with a good screen attractive design and lightweighted2 accuracy of the exercise modes3 good battery life lasts over 3 days with full use of features and alwayson display otherwise it could over 45days easilycons1 automatically increases step count while riding on the bike it automatically adds around 5k to 6k steps while riding on my royal enfield for around 15kms daily2 the detailed analysis comes at a cost advanced features are only present in premium mode which comes around 800 to 900 rupees per month3 fitbit wallet is not available in india currently
",pros1 watch looks attractive good screen attractive design lightweighted2 accuracy exercise modes3 good battery life lasts 3 days full use features alwayson display otherwise could 45days easilycons1 automatically increases step count riding bike automatically adds around 5k 6k steps riding royal enfield around 15kms daily2 detailed analysis comes cost advanced features present premium mode comes around 800 900 rupees per month3 fitbit wallet available india currently,0,0,0
7,7,7,7,Amazon Customer,2020-10-21,Please read my reveiw and then decide.,"I bought such an expensive watch mainly to track my fitness considering the very watch that served the purpose. But apart from looks nothing great in this watch. Steps are counted incorrectly and believe me 140 steps covered while asleep. Floors were counted as 140 floors for a 35mins bike ride. Calories counted is something really soaring even while just sitting. For instance for about 64 steps,my calories burnt already showed 550. And the worst it keeps getting unsync everytime from an Android phone and seems this was also an existing issue. Highly dissappointed. Such a long wait for this watch and it doesn't do the job it's designed for. The app isn't that user friendly too.
",15,1,"i bought such an expensive watch mainly to track my fitness considering the very watch that served the purpose. but apart from looks nothing great in this watch. steps are counted incorrectly and believe me 140 steps covered while asleep. floors were counted as 140 floors for a 35mins bike ride. calories counted is something really soaring even while just sitting. for instance for about 64 steps,my calories burnt already showed 550. and the worst it keeps getting unsync everytime from an android phone and seems this was also an existing issue. highly dissappointed. such a long wait for this watch and it doesn't do the job it's designed for. the app isn't that user friendly too.
","i bought such an expensive watch mainly to track my fitness considering the very watch that served the purpose but apart from looks nothing great in this watch steps are counted incorrectly and believe me 140 steps covered while asleep floors were counted as 140 floors for a 35mins bike ride calories counted is something really soaring even while just sitting for instance for about 64 stepsmy calories burnt already showed 550 and the worst it keeps getting unsync everytime from an android phone and seems this was also an existing issue highly dissappointed such a long wait for this watch and it doesnt do the job its designed for the app isnt that user friendly too
",bought expensive watch mainly track fitness considering watch served purpose apart looks nothing great watch steps counted incorrectly believe 140 steps covered asleep floors counted 140 floors 35mins bike ride calories counted something really soaring even sitting instance 64 stepsmy calories burnt already showed 550 worst keeps getting unsync everytime android phone seems also existing issue highly dissappointed long wait watch doesnt job designed app isnt user friendly,0,0,0
8,8,8,8,Amazon Customer,2019-12-06,Useless product,"This product is a scam, have had it for 3 days.  WhatsApp/SmS notifications not worked 1 day.  Steps, heart rate are all inaccurate.It's nothing more than a time telling device.  Called the Fitbit help no. And was told that notifications issue has been going on for a few days now.  They are trying to figure it out.  It'll probably start working the day the return is processed.
",19,1,"this product is a scam, have had it for 3 days.  whatsapp/sms notifications not worked 1 day.  steps, heart rate are all inaccurate.it's nothing more than a time telling device.  called the fitbit help no. and was told that notifications issue has been going on for a few days now.  they are trying to figure it out.  it'll probably start working the day the return is processed.
","this product is a scam have had it for 3 days  whatsappsms notifications not worked 1 day  steps heart rate are all inaccurateits nothing more than a time telling device  called the fitbit help no and was told that notifications issue has been going on for a few days now  they are trying to figure it out  itll probably start working the day the return is processed
",product scam 3 days whatsappsms notifications worked 1 day steps heart rate inaccurateits nothing time telling device called fitbit help told notifications issue going days trying figure itll probably start working day return processed,0,0,0
9,9,9,9,Anil T.,2019-10-31,Worst watch no support Thrown in garbage,"No service support. It is use and throw after 1 year. Better options Garmin, Fossil, Apple.Waste product. After several discussions with customer support I have no option but throw in dust bin.
",21,1,"no service support. it is use and throw after 1 year. better options garmin, fossil, apple.waste product. after several discussions with customer support i have no option but throw in dust bin.
","no service support it is use and throw after 1 year better options garmin fossil applewaste product after several discussions with customer support i have no option but throw in dust bin
",service support use throw 1 year better options garmin fossil applewaste product several discussions customer support option throw dust bin,0,0,0
