,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,date,title,review,vote,rating,text_lower,text_wo_punct,review_stopwords,logistic_sentiment,random_forest_sentiment,support_vector_sentiment
0,0,0,0,Shraban,2021-02-05,A very good upgrade but FULL HD resolution is missing given the price point of around 17000.,"Your browser does not support HTML5 video.
        
  This is my initial impressions. Will update with a detailed review after some time with the television. I would suggest that you go with the UA32TE40AAKBXL 2021 model and not the 2020. The 2021 model has Bluetooth and WiFi 5Ghz. The complete feature set including the availability of apps in the app store will be updated with the detailed review.Some initial impressions:1. The picture quality is good but only for movies. Lack of good resolution is visible in the 32-inch screen.2. This is not suitable for a permanent monitor use case. The sharpness levels and text readability are not good which is one of the primary objectives of a monitor.3. Screen mirroring works with Samsung devices, Apple airplay and laptop. Other Android devices not tested.The screen gets fully covered only when mirroring a laptop. After mirroring the sound is from the TV (tested with Youtube though from the laptop). Mirroring from PC has an audio lag sometimes and flickering picture due to lag.4. The booting time is very less. Please see demo video for that.5. The remote is not suitable for old people who are used to many buttons.6. I could not properly set the TV with Sity cable. The cable TV remote is required. Universal Remote not working with Sity.7. The sound is idle for a living room. Will not replace a good speaker but decent enough.8. The energy rating is 2 stars with a rated power consumption of 67.42 kWh/Year.9. Samsung servicemen were prompt and installed the wall mount(not in box) without any additional charges.10. I bought this for around 16800.11. The TV has 2 HDMI ports and one USB(the version I am not sure about).Television makers should part ways with 720p screens on TV as in slowly becoming the case with mobile phones. It looks bad on a mobile phone let alone a 32 inch TV. Except that I am satisfied with my purchase. So far so good.",30,4,"your browser does not support html5 video.
        
  this is my initial impressions. will update with a detailed review after some time with the television. i would suggest that you go with the ua32te40aakbxl 2021 model and not the 2020. the 2021 model has bluetooth and wifi 5ghz. the complete feature set including the availability of apps in the app store will be updated with the detailed review.some initial impressions:1. the picture quality is good but only for movies. lack of good resolution is visible in the 32-inch screen.2. this is not suitable for a permanent monitor use case. the sharpness levels and text readability are not good which is one of the primary objectives of a monitor.3. screen mirroring works with samsung devices, apple airplay and laptop. other android devices not tested.the screen gets fully covered only when mirroring a laptop. after mirroring the sound is from the tv (tested with youtube though from the laptop). mirroring from pc has an audio lag sometimes and flickering picture due to lag.4. the booting time is very less. please see demo video for that.5. the remote is not suitable for old people who are used to many buttons.6. i could not properly set the tv with sity cable. the cable tv remote is required. universal remote not working with sity.7. the sound is idle for a living room. will not replace a good speaker but decent enough.8. the energy rating is 2 stars with a rated power consumption of 67.42 kwh/year.9. samsung servicemen were prompt and installed the wall mount(not in box) without any additional charges.10. i bought this for around 16800.11. the tv has 2 hdmi ports and one usb(the version i am not sure about).television makers should part ways with 720p screens on tv as in slowly becoming the case with mobile phones. it looks bad on a mobile phone let alone a 32 inch tv. except that i am satisfied with my purchase. so far so good.","your browser does not support html5 video
        
  this is my initial impressions will update with a detailed review after some time with the television i would suggest that you go with the ua32te40aakbxl 2021 model and not the 2020 the 2021 model has bluetooth and wifi 5ghz the complete feature set including the availability of apps in the app store will be updated with the detailed reviewsome initial impressions1 the picture quality is good but only for movies lack of good resolution is visible in the 32inch screen2 this is not suitable for a permanent monitor use case the sharpness levels and text readability are not good which is one of the primary objectives of a monitor3 screen mirroring works with samsung devices apple airplay and laptop other android devices not testedthe screen gets fully covered only when mirroring a laptop after mirroring the sound is from the tv tested with youtube though from the laptop mirroring from pc has an audio lag sometimes and flickering picture due to lag4 the booting time is very less please see demo video for that5 the remote is not suitable for old people who are used to many buttons6 i could not properly set the tv with sity cable the cable tv remote is required universal remote not working with sity7 the sound is idle for a living room will not replace a good speaker but decent enough8 the energy rating is 2 stars with a rated power consumption of 6742 kwhyear9 samsung servicemen were prompt and installed the wall mountnot in box without any additional charges10 i bought this for around 1680011 the tv has 2 hdmi ports and one usbthe version i am not sure abouttelevision makers should part ways with 720p screens on tv as in slowly becoming the case with mobile phones it looks bad on a mobile phone let alone a 32 inch tv except that i am satisfied with my purchase so far so good",browser support html5 video initial impressions update detailed review time television would suggest go ua32te40aakbxl 2021 model 2020 2021 model bluetooth wifi 5ghz complete feature set including availability apps app store updated detailed reviewsome initial impressions1 picture quality good movies lack good resolution visible 32inch screen2 suitable permanent monitor use case sharpness levels text readability good one primary objectives monitor3 screen mirroring works samsung devices apple airplay laptop android devices testedthe screen gets fully covered mirroring laptop mirroring sound tv tested youtube though laptop mirroring pc audio lag sometimes flickering picture due lag4 booting time less please see demo video that5 remote suitable old people used many buttons6 could properly set tv sity cable cable tv remote required universal remote working sity7 sound idle living room replace good speaker decent enough8 energy rating 2 stars rated power consumption 6742 kwhyear9 samsung servicemen prompt installed wall mountnot box without additional charges10 bought around 1680011 tv 2 hdmi ports one usbthe version sure abouttelevision makers part ways 720p screens tv slowly becoming case mobile phones looks bad mobile phone let alone 32 inch tv except satisfied purchase far good,0,0,0
1,1,1,1,PADMAJA,2021-08-14,Detailed review.,"I had a good experience buying this TV. People are complaining about it's Bluetooth description. Yes it has the Bluetooth but for the screen mirroring purpose only. You can't directly connect a Bluetooth device to the TV.About installation and service -I had little problem with installation appointment. Samsung did not call me for installation so I booked an appointment by calling their customer service. They have arranged the appointment by my schedule.But if you want easier procedure, here are few steps-1. Call the local Samsung service center or find out the Samsung service guy for your area and contact him.2. Discuss about your online purchase with them and they will give you detailed information about everything.3. If you want to exchange the old TV and you can't do it here on Amazon (I couldn't because of my location) just let the local service center know about it and they will buy your old TV by their valuation.About resolution and sound -If you want HD resolution you need HD set top box and have HD channels.For better sound there is optimized sound option which amplifies the sound enough.If you want to connect Bluetooth speaker to the TV then you can go for  Bluetooth transmitter which you can connect to your TV and then connect any Bluetooth device.There is no AUX cable provided with TV.  You'll need to buy it separately.Buy a stabilizer along with TV to protect it from electricity fluctuations.TV has the port to connect your laptop, pen drive and home theater system.I hope this is enough information before you buy!!",12,4,"i had a good experience buying this tv. people are complaining about it's bluetooth description. yes it has the bluetooth but for the screen mirroring purpose only. you can't directly connect a bluetooth device to the tv.about installation and service -i had little problem with installation appointment. samsung did not call me for installation so i booked an appointment by calling their customer service. they have arranged the appointment by my schedule.but if you want easier procedure, here are few steps-1. call the local samsung service center or find out the samsung service guy for your area and contact him.2. discuss about your online purchase with them and they will give you detailed information about everything.3. if you want to exchange the old tv and you can't do it here on amazon (i couldn't because of my location) just let the local service center know about it and they will buy your old tv by their valuation.about resolution and sound -if you want hd resolution you need hd set top box and have hd channels.for better sound there is optimized sound option which amplifies the sound enough.if you want to connect bluetooth speaker to the tv then you can go for  bluetooth transmitter which you can connect to your tv and then connect any bluetooth device.there is no aux cable provided with tv.  you'll need to buy it separately.buy a stabilizer along with tv to protect it from electricity fluctuations.tv has the port to connect your laptop, pen drive and home theater system.i hope this is enough information before you buy!!",i had a good experience buying this tv people are complaining about its bluetooth description yes it has the bluetooth but for the screen mirroring purpose only you cant directly connect a bluetooth device to the tvabout installation and service i had little problem with installation appointment samsung did not call me for installation so i booked an appointment by calling their customer service they have arranged the appointment by my schedulebut if you want easier procedure here are few steps1 call the local samsung service center or find out the samsung service guy for your area and contact him2 discuss about your online purchase with them and they will give you detailed information about everything3 if you want to exchange the old tv and you cant do it here on amazon i couldnt because of my location just let the local service center know about it and they will buy your old tv by their valuationabout resolution and sound if you want hd resolution you need hd set top box and have hd channelsfor better sound there is optimized sound option which amplifies the sound enoughif you want to connect bluetooth speaker to the tv then you can go for  bluetooth transmitter which you can connect to your tv and then connect any bluetooth devicethere is no aux cable provided with tv  youll need to buy it separatelybuy a stabilizer along with tv to protect it from electricity fluctuationstv has the port to connect your laptop pen drive and home theater systemi hope this is enough information before you buy,good experience buying tv people complaining bluetooth description yes bluetooth screen mirroring purpose cant directly connect bluetooth device tvabout installation service little problem installation appointment samsung call installation booked appointment calling customer service arranged appointment schedulebut want easier procedure steps1 call local samsung service center find samsung service guy area contact him2 discuss online purchase give detailed information everything3 want exchange old tv cant amazon couldnt location let local service center know buy old tv valuationabout resolution sound want hd resolution need hd set top box hd channelsfor better sound optimized sound option amplifies sound enoughif want connect bluetooth speaker tv go bluetooth transmitter connect tv connect bluetooth devicethere aux cable provided tv youll need buy separatelybuy stabilizer along tv protect electricity fluctuationstv port connect laptop pen drive home theater systemi hope enough information buy,0,0,0
2,2,2,2,Raju,2021-06-02,Good picture and smart features!,"Picture and sound quality is good. Even in the absence of Android, Samsung has well customised the user interface with Tizen  software. Minimalistic design and operation of remote is good and easy to operate. Brand has completed the installation within 24 hrs of delivery. In the price brand of 15 to 17 K, It is preferable to opt for TV’s from Samsung/LG because they stand out in terms of quality in LED panel manufacturing and customer service! TV is manufactured in India in Feb, 2021. I think the 2021 mode has couple of additional features like Bluetooth and dual band wifi ( both 2.4 & 5 GHz) compared to 2020 model. Overall a good purchase.",9,5,"picture and sound quality is good. even in the absence of android, samsung has well customised the user interface with tizen  software. minimalistic design and operation of remote is good and easy to operate. brand has completed the installation within 24 hrs of delivery. in the price brand of 15 to 17 k, it is preferable to opt for tv’s from samsung/lg because they stand out in terms of quality in led panel manufacturing and customer service! tv is manufactured in india in feb, 2021. i think the 2021 mode has couple of additional features like bluetooth and dual band wifi ( both 2.4 & 5 ghz) compared to 2020 model. overall a good purchase.",picture and sound quality is good even in the absence of android samsung has well customised the user interface with tizen  software minimalistic design and operation of remote is good and easy to operate brand has completed the installation within 24 hrs of delivery in the price brand of 15 to 17 k it is preferable to opt for tv’s from samsunglg because they stand out in terms of quality in led panel manufacturing and customer service tv is manufactured in india in feb 2021 i think the 2021 mode has couple of additional features like bluetooth and dual band wifi  both 24  5 ghz compared to 2020 model overall a good purchase,picture sound quality good even absence android samsung well customised user interface tizen software minimalistic design operation remote good easy operate brand completed installation within 24 hrs delivery price brand 15 17 k preferable opt tv’s samsunglg stand terms quality led panel manufacturing customer service tv manufactured india feb 2021 think 2021 mode couple additional features like bluetooth dual band wifi 24 5 ghz compared 2020 model overall good purchase,1,0,1
3,3,3,3,Diptiman India,2020-10-19,Compact Purchase for Middle Class,"Compact Purchase for Middle Class, Nice picture Quality, Sound little bit low. Smart Features working fine.Wall mounting accessories are very strong and installation person prompt, hassle free maintains all Covid-19 protocol. Very fine discount and offers provided by Amazon during great Indian Festival 2020. Product Made in India.",10,5,"compact purchase for middle class, nice picture quality, sound little bit low. smart features working fine.wall mounting accessories are very strong and installation person prompt, hassle free maintains all covid-19 protocol. very fine discount and offers provided by amazon during great indian festival 2020. product made in india.",compact purchase for middle class nice picture quality sound little bit low smart features working finewall mounting accessories are very strong and installation person prompt hassle free maintains all covid19 protocol very fine discount and offers provided by amazon during great indian festival 2020 product made in india,compact purchase middle class nice picture quality sound little bit low smart features working finewall mounting accessories strong installation person prompt hassle free maintains covid19 protocol fine discount offers provided amazon great indian festival 2020 product made india,1,1,1
4,4,4,4,Amazon Customer,2020-07-01,Nice,"Smart TV by Samsung.Most affordableNetflix, Prime, Zee5, YouTube,amazon primeTakes a bit of time to boot. But bluetooth is not supported. And sound quality , pictures quality everything is is goodPaid only 14,000/-",11,4,"smart tv by samsung.most affordablenetflix, prime, zee5, youtube,amazon primetakes a bit of time to boot. but bluetooth is not supported. and sound quality , pictures quality everything is is goodpaid only 14,000/-",smart tv by samsungmost affordablenetflix prime zee5 youtubeamazon primetakes a bit of time to boot but bluetooth is not supported and sound quality  pictures quality everything is is goodpaid only 14000,smart tv samsungmost affordablenetflix prime zee5 youtubeamazon primetakes bit time boot bluetooth supported sound quality pictures quality everything goodpaid 14000,1,0,1
5,5,5,5,Surajit dutta,2020-10-08,#WorthforMoney,"very good product from samsung, its picture quality is superb and user interface is not to talk about because its excellent, little bit improvement on its sound quantity but at the point of that price range it is quite not enough. Amazon delivery is on time but amazon didn't contact to samsung to install my tv its not expected from amazon, after coming to my house i wait about 1day then i call to Samsung customer care and the demo and installation done on that day about in 2hr on covid19 pendamic, samsung did a great job on sms, amazon delivery also great but little bit facing unexpected error on installation. but at 14990rs its #worthformoney.",6,4,"very good product from samsung, its picture quality is superb and user interface is not to talk about because its excellent, little bit improvement on its sound quantity but at the point of that price range it is quite not enough. amazon delivery is on time but amazon didn't contact to samsung to install my tv its not expected from amazon, after coming to my house i wait about 1day then i call to samsung customer care and the demo and installation done on that day about in 2hr on covid19 pendamic, samsung did a great job on sms, amazon delivery also great but little bit facing unexpected error on installation. but at 14990rs its #worthformoney.",very good product from samsung its picture quality is superb and user interface is not to talk about because its excellent little bit improvement on its sound quantity but at the point of that price range it is quite not enough amazon delivery is on time but amazon didnt contact to samsung to install my tv its not expected from amazon after coming to my house i wait about 1day then i call to samsung customer care and the demo and installation done on that day about in 2hr on covid19 pendamic samsung did a great job on sms amazon delivery also great but little bit facing unexpected error on installation but at 14990rs its worthformoney,good product samsung picture quality superb user interface talk excellent little bit improvement sound quantity point price range quite enough amazon delivery time amazon didnt contact samsung install tv expected amazon coming house wait 1day call samsung customer care demo installation done day 2hr covid19 pendamic samsung great job sms amazon delivery also great little bit facing unexpected error installation 14990rs worthformoney,1,1,1
6,6,6,6,Abhishek Kumar,2021-07-07,Best 43 inch smart TV's under 35k price range,"It's been 15 days and I am completely satisfied with this TV. There was never a doubt for us when we were planning to buy TV. It was definately Samsung as they are super reliable.We were looking for a budget 43inch TV with all the latest features and Samsung was obvious choice for us.And speaking of our 15 days experience, I guess this is the perfect buy. Brilliant display, features and an okay sound. Not the loudest but sound is pretty decent.Based on our usage, these are some of the positives about this purchase.1. Bluetooth and 5GhzWifi connection (2021 model)2. Brilliant display3. Ease of installing apps and voice command works smooth4. Great build quality5. AV port for older generation DVD players and set top box.6. Well optimized, no lag till now.7. Can play 4k videos comfortably.And there are some of negatives as well1. Old generation will take their time to understand the operation. TV operation is simple but intiially it can look tedious.2. Only one USB port.3. Sound is bit low4. Not able to uninstall apps that comes with TV(as this is the case with most of tvs)5. No 3.5mm port for old styled woofers.",3,4,"it's been 15 days and i am completely satisfied with this tv. there was never a doubt for us when we were planning to buy tv. it was definately samsung as they are super reliable.we were looking for a budget 43inch tv with all the latest features and samsung was obvious choice for us.and speaking of our 15 days experience, i guess this is the perfect buy. brilliant display, features and an okay sound. not the loudest but sound is pretty decent.based on our usage, these are some of the positives about this purchase.1. bluetooth and 5ghzwifi connection (2021 model)2. brilliant display3. ease of installing apps and voice command works smooth4. great build quality5. av port for older generation dvd players and set top box.6. well optimized, no lag till now.7. can play 4k videos comfortably.and there are some of negatives as well1. old generation will take their time to understand the operation. tv operation is simple but intiially it can look tedious.2. only one usb port.3. sound is bit low4. not able to uninstall apps that comes with tv(as this is the case with most of tvs)5. no 3.5mm port for old styled woofers.",its been 15 days and i am completely satisfied with this tv there was never a doubt for us when we were planning to buy tv it was definately samsung as they are super reliablewe were looking for a budget 43inch tv with all the latest features and samsung was obvious choice for usand speaking of our 15 days experience i guess this is the perfect buy brilliant display features and an okay sound not the loudest but sound is pretty decentbased on our usage these are some of the positives about this purchase1 bluetooth and 5ghzwifi connection 2021 model2 brilliant display3 ease of installing apps and voice command works smooth4 great build quality5 av port for older generation dvd players and set top box6 well optimized no lag till now7 can play 4k videos comfortablyand there are some of negatives as well1 old generation will take their time to understand the operation tv operation is simple but intiially it can look tedious2 only one usb port3 sound is bit low4 not able to uninstall apps that comes with tvas this is the case with most of tvs5 no 35mm port for old styled woofers,15 days completely satisfied tv never doubt us planning buy tv definately samsung super reliablewe looking budget 43inch tv latest features samsung obvious choice usand speaking 15 days experience guess perfect buy brilliant display features okay sound loudest sound pretty decentbased usage positives purchase1 bluetooth 5ghzwifi connection 2021 model2 brilliant display3 ease installing apps voice command works smooth4 great build quality5 av port older generation dvd players set top box6 well optimized lag till now7 play 4k videos comfortablyand negatives well1 old generation take time understand operation tv operation simple intiially look tedious2 one usb port3 sound bit low4 able uninstall apps comes tvas case tvs5 35mm port old styled woofers,1,0,1
7,7,7,7,Shiva Gali,2021-06-19,Perfect small TV and only for TV enthusiasts,Pros:1. Excellent panel. HD ready but capable of playing full HD videos on prime and Youtube2. Supports hard disk till 2TB and capable of playing most formats3. Sound clarity is okay but the sound is loud. Can watch shows without need of sound bar or anything.4. Samsung TV plus makes us feel like we have cable connection.5. Tizen OS is so powerful supports all major OTTs and glitch free6. Voice commands works flawlessly and TV remote is in different league by itself. So intuitive volume buttons and channel changing buttons.Cons:1. At this price point we can't say it has any cons. It's simply good for the brand and service,3,5,pros:1. excellent panel. hd ready but capable of playing full hd videos on prime and youtube2. supports hard disk till 2tb and capable of playing most formats3. sound clarity is okay but the sound is loud. can watch shows without need of sound bar or anything.4. samsung tv plus makes us feel like we have cable connection.5. tizen os is so powerful supports all major otts and glitch free6. voice commands works flawlessly and tv remote is in different league by itself. so intuitive volume buttons and channel changing buttons.cons:1. at this price point we can't say it has any cons. it's simply good for the brand and service,pros1 excellent panel hd ready but capable of playing full hd videos on prime and youtube2 supports hard disk till 2tb and capable of playing most formats3 sound clarity is okay but the sound is loud can watch shows without need of sound bar or anything4 samsung tv plus makes us feel like we have cable connection5 tizen os is so powerful supports all major otts and glitch free6 voice commands works flawlessly and tv remote is in different league by itself so intuitive volume buttons and channel changing buttonscons1 at this price point we cant say it has any cons its simply good for the brand and service,pros1 excellent panel hd ready capable playing full hd videos prime youtube2 supports hard disk till 2tb capable playing formats3 sound clarity okay sound loud watch shows without need sound bar anything4 samsung tv plus makes us feel like cable connection5 tizen os powerful supports major otts glitch free6 voice commands works flawlessly tv remote different league intuitive volume buttons channel changing buttonscons1 price point cant say cons simply good brand service,1,1,1
8,8,8,8,Tapas R Mohanty,2020-11-03,Really good,It is amazing tv with all the latest features which other providers are providing but the cost is very reasonable as compared to other brand,7,5,it is amazing tv with all the latest features which other providers are providing but the cost is very reasonable as compared to other brand,it is amazing tv with all the latest features which other providers are providing but the cost is very reasonable as compared to other brand,amazing tv latest features providers providing cost reasonable compared brand,1,1,1
9,9,9,9,TechOmics,2021-08-13,Perfect buy at this price point,Apparently I read the other reviews only after buying and I feel it is a blessing in disguise.  Idk why ppl have given so much negative feedback. First of all so many ppl said bluetooth doesn't work or not supported but I was easily able to connect my bluetooth head phones to the tv. Secondly delivery was also prompt I got it the next day and it was installed the same . A complete hassle free experience.Picture quality is good and so is the sound quality. It has a clean user interface and is easy to navigate. Gets you all the things you can imagine in a smart tv. The remote is totally next generation no one comes near .The best part you can install smart thing n control the tv from your mobile phone.,2,5,apparently i read the other reviews only after buying and i feel it is a blessing in disguise.  idk why ppl have given so much negative feedback. first of all so many ppl said bluetooth doesn't work or not supported but i was easily able to connect my bluetooth head phones to the tv. secondly delivery was also prompt i got it the next day and it was installed the same . a complete hassle free experience.picture quality is good and so is the sound quality. it has a clean user interface and is easy to navigate. gets you all the things you can imagine in a smart tv. the remote is totally next generation no one comes near .the best part you can install smart thing n control the tv from your mobile phone.,apparently i read the other reviews only after buying and i feel it is a blessing in disguise  idk why ppl have given so much negative feedback first of all so many ppl said bluetooth doesnt work or not supported but i was easily able to connect my bluetooth head phones to the tv secondly delivery was also prompt i got it the next day and it was installed the same  a complete hassle free experiencepicture quality is good and so is the sound quality it has a clean user interface and is easy to navigate gets you all the things you can imagine in a smart tv the remote is totally next generation no one comes near the best part you can install smart thing n control the tv from your mobile phone,apparently read reviews buying feel blessing disguise idk ppl given much negative feedback first many ppl said bluetooth doesnt work supported easily able connect bluetooth head phones tv secondly delivery also prompt got next day installed complete hassle free experiencepicture quality good sound quality clean user interface easy navigate gets things imagine smart tv remote totally next generation one comes near best part install smart thing n control tv mobile phone,0,0,0
